Pergunta,Resposta,Feedback_Positivo,Feedback_Total
remoto interno nao funciona,"Desculpe, houve um erro ao processar sua pergunta.",0,1
remoto externo,"Olá! Entendo que você está buscando informações sobre o uso de um sistema remoto externo. 

Se a sua dúvida está relacionada à configuração de TEF remoto, é importante garantir que o servidor e o caixa estejam conectados corretamente. Para isso, você pode seguir os passos abaixo:

1. **Verifique a conexão**: O servidor deve ter acesso à internet e estar configurado para permitir conexões externas.
2. **Instale o Hamachi**: Tanto no servidor quanto no caixa, instale o Hamachi para criar uma rede virtual entre os dois.
3. **Configuração da DLL**: No servidor, coloque a DLL ""msxml.dll"" na pasta C:\Windows\System32 e registre-a usando o comando `regsvr32 ""C:\Windows\System32\msxml.dll""` no prompt de comando.
4. **Crie e compartilhe a pasta TEF**: No servidor, crie a pasta C:\Softcom\TEF e a compartilhe, garantindo que o caixa tenha acesso.
5. **Configurações no Softshop**: No Softshop, em ""Integração de Lojas"", a pasta destino deve apontar para a pasta TEF no caixa. Além disso, habilite o TEF remoto nas configurações do Softshop.

Se você estiver enfrentando dificuldades específicas ou precisar de assistência adicional, não hesite em nos informar! Estamos aqui para ajudar.",0,1
remoto interno,"Resposta: Parece que você está se referindo a uma questão de conexão remota interna. No entanto, para fornecer uma solução adequada, preciso de mais detalhes sobre o problema que você está enfrentando. Você poderia por favor fornecer mais informações ou detalhar o problema? Isso ajudará a fornecer uma resposta mais precisa e eficaz.",0,0
meu caixa está offiline,"Resposta: Sinto muito por você estar enfrentando esse problema. Primeiramente, verifique se a sua conexão com a internet está estável. Se a conexão estiver boa, tente reiniciar o sistema do caixa. Se o problema persistir, por favor, entre em contato conosco novamente para que possamos ajudá-lo de forma mais detalhada.",0,1
meu pdv está parado,"Resposta: Entendo que você está enfrentando problemas com seu PDV. Para poder ajudá-lo da melhor forma possível, preciso de mais detalhes sobre o problema. Ele apresenta alguma mensagem de erro? Se sim, qual é a mensagem? O problema ocorreu após alguma atualização ou mudança recente no sistema? Quanto mais informações você puder fornecer, mais fácil será para eu ajudá-lo a resolver o problema.",0,0
pdv parado,"A situação de PDV parado pode ser causada por vários fatores, incluindo erros no banco de dados, problemas na impressora ou falta de internet no caixa ou servidor. Aqui estão algumas soluções que podem ajudar a resolver o problema:

1. Reinstalar o PDV: Você pode fazer isso acessando o HelpTools, indo em downloads, procurando o PDV - SoftShop Caixa e clicando na nuvem para baixa-lo. Enquanto isso, abra o painel de controle e clique em desinstalar um programa. Procure o PDV e desinstale. Após desinstalar, abra o arquivo do PDV que foi baixado, e instale-o seguindo os passos do assistente de instalação.

2. Atualizar o .NET para versão mais atual: Acesse o painel de controle e clique em desinstalar um programa para fazer isso.

3. Caso o erro seja Caixa off-line, ou algum erro de comunicação com o banco: Você deve reiniciar o computador do caixa e do servidor.

4. Caso o erro seja na impressão do cupom: Você pode tentar instalar uma impressora não fiscal Epson TM-T20 na porta USB e configurá-la no PDV, ou instalar uma impressora MP 4200 não fiscal USB.

Se nenhuma dessas soluções resolver o problema, é recomendável entrar em contato com o suporte técnico para obter ajuda adicional.",0,0
estou com um pdv parado,causa: problemas na impressora solução: tenta enviar uma pagina de teste de impressao,0,1
troca no pdv,"Para realizar uma troca de produtos através do cupom ou do número do pedido no PDV, siga os seguintes passos:

1. Pressione F11 (funções).
2. Selecione a opção ""Trocas"".
3. Em ""Tipo de Pesquisa"", selecione ""NFCe"" se estiver com o cupom eletrônico em mãos ou ""Pedido"" se estiver com o número do pedido no sistema. Por exemplo, vamos buscar pela NFCe nº 243. Serão exibidas as mercadorias dessa venda, dê um clique duplo na coluna ""Devolver"" e informe a quantidade que será devolvida.
4. Após isso, pressione ""F2"" para informar qual mercadoria será levada em troca. Se o cliente não for levar nenhuma mercadoria em troca, as opções ""F5 - Devolver Valor Pago"" ou ""F7 - Salvar Crédito"" podem ser usadas.
5. Selecione o item que o cliente vai levar e pressione F1. Na coluna ""quantidade"", informe a quantidade que será levada e clique em ""Confirmar"".
6. Observe a diferença a ser paga pelo cliente no campo ""Saldo"" e clique em ""Pagar Diferença"".
7. Informe o vendedor que está realizando a troca.
8. Finalize a venda informando em qual forma de pagamento essa diferença será paga.

Para alterar o prazo ou a mensagem de troca, acesse SoftShop > Empresas > Configurações > Troca. Se quiser imprimir um comprovante para a troca, acesse Configurações do PDV > Tela de Vendas e marque ""Habilitar vias de comprovante de impressão"". Ao chegar",1,1
estou com um caixa off-line,"A partir das informações fornecidas, parece que você pode estar experimentando problemas de conexão com a rede ou VPN. Siga estas etapas para corrigir o problema:

1. Desconecte a VPN e feche o PDV.
2. Clique no botão Iniciar do Windows e digite: ""Exibir conexões de rede"".
3. Pressione a tecla ""Alt"", clique em ""Avançado"" e, em seguida, em ""Configurações avançadas"".
4. No grupo ""Conexões"", escolha a rede que você usa para conexão com a internet (normalmente ""Conexão local"") e deixe na primeira posição (clique nas setas verdes para definir a prioridade).
5. Deixe a conexão da VPN do TEF Auttar na última posição.
6. Reconecte a VPN e abra o PDV (teste)
7. Vá em funções menu F11 do PDV e mande verificar a conexão.

Se o problema persistir, por favor, forneça mais detalhes para que eu possa ajudá-lo melhor.",0,1
erro de null 94,"A causa do erro 94 (uso de null inválido) geralmente está relacionada à seleção de uma linha que não contém mercadoria ou se no cadastro de mercadorias o campo situação está em branco. Também pode ser que o desconto ou a mensagem da tela de vendas estejam em branco. 

Para solucionar o problema, você terá que fechar o sistema e verificar se não selecionou uma linha sem mercadoria. Se isso estiver correto, o provável problema está no cadastro da mercadoria que pode estar faltando a situação. Se mesmo assim o erro persistir, verifique se o desconto ou a mensagem na tela de vendas não estão em branco.",1,1
